AGENCY_CODE,LABM_CODE,LABP_CODE,LABMT_CODE,LABM_NAME,LABM_SHORT_NAME,LABM_SHORT_NAME_Orig,LABM_REF,LABM_MASK,LABM_UNITS,LABM_LOW_VALUE,LABM_HIGH_VALUE,est_type
999,10_BC,SULFUR,10.03,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",Extractable S,Extractable S,CSIRO,,?,,,
999,10A_NR,SULFUR,10.013,Total sulfur - S(%) - Not recorded,Total S,Total S,CSIRO NR,,%,,,
999,10A1,SULFUR,10.01,Total sulfur - S(%) - X-ray fluorescence,Total S,Total S,ASLSH Vol 3,,%,,,
303,10A3,,,C N S; Dumas,CNS,CNS,,,,,,
999,10B,SULFUR,10.02,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,Extractable S,Extractable S,ASLSH Vol 3,,mg/kg,,,
999,10B_NR,SULFUR,10.020,Extractable sulfur (mg/kg) - Not recorded,Extractable S,Extractable S,CSIRO NR,,mg/kg,,,
999,10B1,SULFUR,10.02,Calcium phosphate-extractable sulfur - manual distillation,Extractable S,Extractable S,ASLSH Vol 3,,mg/kg,,,
999,10B2,SULFUR,10.02,Calcium phosphate-extractable sulfur - automated distillation,Extractable S,Extractable S,ASLSH Vol 3,,mg/kg,,,
999,10B3,SULFUR,10.02,Calcium phosphate-extractable sulfur - ICPAES,Extractable S,Extractable S,ASLSH Vol 3,,mg/kg,,,
999,10B4,SULFUR,,Calcium phosphate-extractable sulfur - ion chromatography,Extractable S,Extractable S,ASLSH SCM,,mg/kg,,,
999,10C1,SULFUR,,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",Extractable S,Extractable S,ASLSH SCM,,mg/kg,,,
999,10D1,SULFUR,10.04,Potassium chloride - 40 sulfur (KCl-40)-S,Extractable S,Extractable S,ASLSH SCM,,mg/kg,,,
303,10Z1,,,4M HCL extr. ICP finish,HCl Extr S,HCl Extr S,,,,,,
999,11A1,GYPSUM,11.01,Total gypsum,Total Gypsum,Total Gypsum,ASLSH Vol 3,,%,,,
999,11A2,GYPSUM,,Total gypsum - MIR reflectance spectroscopy,Total Gypsum,Total Gypsum,ASLSH SCM,,%,,,
999,12_HCL_CU,TOTAL_ELEMENTS,12.061,Total element - Cu(mg/kg) - Total acid(HCl),Total Cu,Total Cu,CSIRO,,mg/kg,,,
999,12_HCL_FE,TOTAL_ELEMENTS,12.064,Total element - Fe(%) - Total acid(HCl) extractable Fe,Total Fe,Total Fe,CSIRO,,%,,,
999,12_HCL_FEO,TOTAL_ELEMENTS,12.065,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,Total Fe2O3,Total Fe2O3,CSIRO,,%,,,
999,12_HCL_MN,TOTAL_ELEMENTS,12.053,Total element - Mn(mg/kg) - Total acid(HCl),Total Mn,Total Mn,CSIRO,,mg/kg,,,
999,12_HCL_ZN,TOTAL_ELEMENTS,12.062,Total element - Zn(mg/kg) - Total acid(HCl),Total Zn,Total Zn,CSIRO,,mg/kg,,,
999,12_HF_CU,TOTAL_ELEMENTS,12.041,Total element - Cu(mg/kg) - HF/HClO4 Digest,Total Cu,Total Cu,CSIRO,,mg/kg,,,
999,12_HF_FE,TOTAL_ELEMENTS,12.044,Total element - Fe(%) - HF/HClO4 Digest,Total Fe,Total Fe,CSIRO,,%,,,
999,12_HF_MN,TOTAL_ELEMENTS,12.043,Total element - Mn(mg/kg) - HF/HClO4 Digest,Total Mn,Total Mn,CSIRO,,mg/kg,,,
999,12_HF_ZN,TOTAL_ELEMENTS,12.042,Total element - Zn(mg/kg) - HF/HClO4 Digest,Total Zn,Total Zn,CSIRO,,mg/kg,,,
999,12_HF+_FEO,TOTAL_ELEMENTS,12.044,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3),Total Fe,Total Fe,CSIRO,,%,,,
999,12_NR_CU,TOTAL_ELEMENTS,12.001,Total element - Cu(mg/kg) - Not recorded,Total Cu,Total Cu,CSIRO NR,,mg/kg,,,
999,12_NR_FE,TOTAL_ELEMENTS,12.004,Total element - Fe(%) - Not recorded,Total Fe,Total Fe,CSIRO NR,,%,,,
999,12_NR_MN,TOTAL_ELEMENTS,12.003,Total element - Mn(mg/kg) - Not recorded,Total Mn,Total Mn,CSIRO NR,,mg/kg,,,
999,12_NR_ZN,TOTAL_ELEMENTS,12.002,Total element - Zn(mg/kg) - Not recorded,Total Zn,Total Zn,CSIRO NR,,mg/kg,,,
999,12_XRF_CU,TOTAL_ELEMENTS,12.051,Total element - Cu(mg/kg) - X-Ray Fuoresence,Total Cu,Total Cu,CSIRO,,mg/kg,,,
999,12_XRF_FE,TOTAL_ELEMENTS,12.054,Total element - Fe(%) - X-Ray Fuoresence,Total Fe,Total Fe,CSIRO,,%,,,
999,12_XRF_FEO,TOTAL_ELEMENTS,12.055,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3),Total Fe2O3,Total Fe2O3,CSIRO,,%,,,
999,12_XRF_MN,TOTAL_ELEMENTS,12.053,Total element - Mn(mg/kg) - X-Ray Fuoresence,Total Mn,Total Mn,CSIRO,,mg/kg,,,
999,12_XRF_ZN,TOTAL_ELEMENTS,12.052,Total element - Zn(mg/kg) - X-Ray Fuoresence,Total Zn,Total Zn,CSIRO,,mg/kg,,,
999,12A1_AL,AL,12.014,"DTPA - extractable copper, zinc, manganese,aluminium and iron",Extractable Al,Extractable Al,ASLSH Vol 3,,mg/kg,,,
999,12A1_CU,CU,12.011,"DTPA - extractable copper, zinc, manganese and iron",Extractable Cu,Extractable Cu,ASLSH Vol 3,,mg/kg,,,
999,12A1_FE,FE,12.014,"DTPA - extractable copper, zinc, manganese and iron",Extractable Fe,Extractable Fe,ASLSH Vol 3,,mg/kg,,,
999,12A1_MN,MN,12.013,"DTPA - extractable copper, zinc, manganese and iron",Extractable Mn,Extractable Mn,ASLSH Vol 3,,mg/kg,,,
999,12A1_ZN,ZN,12.012,"DTPA - extractable copper, zinc, manganese and iron",Extractable Zn,Extractable Zn,ASLSH Vol 3,,mg/kg,,,
999,12B1_CU,CU,12.021,Ammonium bicarbonate/EDTA - extractable copper,Extractable Cu,Extractable Cu,ASLSH Vol 3,,mg/kg,,,
999,12B1_FE,FE,12.024,Ammonium bicarbonate/EDTA - extractable Iron,Extractable Fe,Extractable Fe,ASLSH Vol 3,,mg/kg,,,
999,12B1_MN,MN,12.023,Ammonium bicarbonate/EDTA - extractable manganese,Extractable Mn,Extractable Mn,ASLSH Vol 3,,mg/kg,,,
999,12B1_ZN,ZN,12.022,Ammonium bicarbonate/EDTA - extractable zinc,Extractable Zn,Extractable Zn,ASLSH Vol 3,,mg/kg,,,
999,12C1,BORON,12.03,Calcium chloride extractable boron - manual colour,Extractable B,Extractable B,ASLSH Vol 3,,mg/kg,,,
999,12C2,BORON,12.03,Calcium chloride extractable boron - ICPAES,Extractable B,Extractable B,ASLSH Vol 3,,mg/kg,,,
303,12C3,,,"Water extract, ICP",Water Extr B,Water Extr B,,,,,,
999,12D1_CU,CU,,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Cu,Extractable Cu,ASLSH SCM,,mg/kg,,,
999,12D1_FE,FE,,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Fe,Extractable Fe,ASLSH SCM,,mg/kg,,,
999,12D1_MN,MN,,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Mn,Extractable Mn,ASLSH SCM,,mg/kg,,,
999,12D1_ZN,ZN,,"0.1 M HCl - extractable copper, zinc, manganese and iron",Extractable Zn,Extractable Zn,ASLSH SCM,,mg/kg,,,
999,12E1,MO,,Calcium chloride - extractable Mo,Extractable Mo,Extractable Mo,ASLSH SCM,,mg/kg,,,
999,13_C_FE,TOTAL_ELEMENTS,13.0011,Extractable Fe(%) - Method recorded as C,Extractable Fe,Extractable Fe,CSIRO,,%,,,
999,13_NR_AL,TOTAL_ELEMENTS,13.0021,Extractable Al(%) - Not recorded,Extractable Al,Extractable Al,CSIRO NR,,%,,,
999,13_NR_FE,TOTAL_ELEMENTS,13.001,Extractable Fe(%) - Not recorded,Extractable Fe,Extractable Fe,CSIRO NR,,%,,,
999,13_NR_MN,TOTAL_ELEMENTS,13.0021,Extractable Mn(%) - Not recorded,Extractable Mn,Extractable Mn,CSIRO NR,,%,,,
303,13A1,,,Si,Si,Si,,,,,,
999,13A1_AL,AL,13.012,Oxalate-extractable aluminium,Extractable Al,Extractable Al,ASLSH Vol 3,,%,,,
999,13A1_FE,FE,13.011,Oxalate-extractable iron,Extractable Fe,Extractable Fe,ASLSH Vol 3,,%,,,
999,13A1_MN,MN,13.013,Oxalate-extractable manganese,Extractable Mn,Extractable Mn,ASLSH Vol 3,,%,,,
999,13A1_SI,SI,13.014,Oxalate-extractable silicon,Extractable Si,Extractable Si,ASLSH Vol 3,,%,,,
999,13B1_AL,AL,13.022,Pyrophosphate-extractable aluminium,Extractable Al,Extractable Al,ASLSH Vol 3,,%,,,
999,13B1_FE,FE,13.021,Pyrophosphate-extractable iron,Extractable Fe,Extractable Fe,ASLSH Vol 3,,%,,,
999,13C_C_FE,TOTAL_ELEMENTS,13.03 ,Extractable Fe (Free) % - Method recorded as C,Extractable Fe(Free),Extractable Fe(Free),CSIRO,,%,,,
999,13C1_AL,AL,13.032,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Al,Extractable Al,ASLSH Vol 3,,%,,,
999,13C1_FE,FE,13.031,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Fe,Extractable Fe,ASLSH Vol 3,,%,,,
999,13C1_FE203,TOTAL_ELEMENTS,13.0311,Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3,Extractable Fe(Free),Extractable Fe(Free),CSIRO,,%,,,
999,13C1_MN,MN,13.033,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Mn,Extractable Mn,ASLSH Vol 3,,%,,,
999,13C1_SI,SI,13.034,"Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",Extractable Si,Extractable Si,ASLSH Vol 3,,%,,,
999,13D1,SI,,Acid-extractable soil silicon - automated colour,Extractable Si,Extractable Si,ASLSH SCM,,mg/kg,,,
