PropertyType,PropertyGroup,Property,Description
FieldMeasurement,AGENCIES,STATE_CODE,State code p7 Note: new codes
FieldMeasurement,AGENCIES,AGENCY_CODE,Agency unique identifier
FieldMeasurement,AGENCIES,AGENCY_NAME,Name of agency
FieldMeasurement,AGENCIES,AGENCY_ACRONYM,Acronym of agency  e.g. ACLEP
FieldMeasurement,ARCHIVE_SAMPLES,AGENCY_CODE,Agency identifier
FieldMeasurement,ARCHIVE_SAMPLES,PROJ_CODE,Project identifier
FieldMeasurement,ARCHIVE_SAMPLES,SAMP_TYPE,Sample type  e.g. fine earth  whole soil
FieldMeasurement,ARCHIVE_SAMPLES,LOCATION,Location of sample i.e. shelf number
FieldMeasurement,ARCHIVE_SAMPLES,>2mm,Presence of coarse fragment sample
FieldMeasurement,ARCHIVE_SAMPLES,SUBSAMPLE_DATE,Date of subsampling
FieldMeasurement,ARCHIVE_SAMPLES,SUBSAMPLE_TRAY,Subsample tray identifier
FieldMeasurement,COARSE_FRAGS,CF_ABUN,Coarse fragments abundance p139
FieldMeasurement,COARSE_FRAGS,CF_SIZE,Coarse fragments size p140
FieldMeasurement,COARSE_FRAGS,CF_SHAPE,Coarse fragments shape p142
FieldMeasurement,COARSE_FRAGS,CF_LITH,Coarse fragment lithology p142
FieldMeasurement,COARSE_FRAGS,CF_STRENGTH,Coarse fragments strength p142
FieldMeasurement,COARSE_FRAGS,CF_DISTRIBUTION,Coarse fragments distribution p170
FieldMeasurement,COLOURS,COL_HUE_VAL_CHROM,Colour for decode
FieldMeasurement,COLOURS,COL_HUE,Colour hue p159
FieldMeasurement,COLOURS,COL_MOISTURE_STAT,Colour moisture status p159
FieldMeasurement,CRACKS,AGENCY_CODE,Agency identifier
FieldMeasurement,CRACKS,CRACK_WIDTH,Crack width p184
FieldMeasurement,CUTANS,AGENCY_CODE,Agency identifier
FieldMeasurement,CUTANS,PROJ_CODE,Project identifier
FieldMeasurement,CUTANS,CUTAN_TYPE,Type of cutan p182
FieldMeasurement,CUTANS,CUTAN_ABUN,Abundance of cutan p183
